,Nama Kecamatan,speed_kmh,length,delay,Cluster,Mobilitas
0,MATRAMAN,23,1682,143,0,Lenggang
1,JATINEGARA,20,1443,154,0,Lenggang
2,TEBET,20,1407,146,0,Lenggang
3,TANAH ABANG,20,1669,189,1,Sedang
4,MENTENG,20,1604,139,0,Lenggang
5,CEMPAKA PUTIH,19,1105,113,0,Lenggang
6,GAMBIR,19,1820,199,1,Sedang
7,GROGOL PETAMBURAN,18,1561,187,1,Sedang
8,SENEN,18,1095,141,0,Lenggang
9,KELAPA GADING,18,1399,158,0,Lenggang
10,KRAMAT JATI,17,1894,240,1,Sedang
11,MAKASAR,17,1607,220,1,Sedang
12,KALIDERES,17,1305,150,0,Lenggang
13,CILANDAK,17,1366,176,0,Lenggang
14,KEBON JERUK,17,1355,173,0,Lenggang
15,KOJA,17,1292,154,0,Lenggang
16,CIPAYUNG,17,1251,143,0,Lenggang
17,PASAR REBO,17,1382,212,1,Sedang
18,KEMAYORAN,16,1427,202,1,Sedang
19,PASAR MINGGU,16,1759,301,2,Padat
20,DUREN SAWIT,16,1455,233,1,Sedang
21,TANJUNG PRIOK,16,1333,194,1,Sedang
22,SETIA BUDI,16,1199,203,1,Sedang
23,SAWAH BESAR,16,908,144,0,Lenggang
24,JAGAKARSA,16,1525,217,1,Sedang
25,KEMBANGAN,15,1182,205,1,Sedang
26,JOHAR BARU,15,1072,109,0,Lenggang
27,PULO GADUNG,15,1022,137,0,Lenggang
28,TAMBORA,15,1207,165,0,Lenggang
29,TAMAN SARI,15,787,96,0,Lenggang
30,CIRACAS,15,1157,153,0,Lenggang
31,KEBAYORAN BARU,15,992,135,0,Lenggang
32,CENGKARENG,14,1284,194,1,Sedang
33,PADEMANGAN,14,982,150,0,Lenggang
34,CAKUNG,14,1044,194,1,Sedang
35,MAMPANG PRAPATAN,14,1145,214,1,Sedang
36,CILINCING,14,1194,208,1,Sedang
37,PESANGGRAHAN,13,1322,247,1,Sedang
38,KEBAYORAN LAMA,13,748,144,0,Lenggang
39,PALMERAH,12,934,225,1,Sedang
40,PENJARINGAN,9,791,300,2,Padat
41,PANCORAN,8,739,333,2,Padat
